577.333	566.667 
546	469
546	474
546	478
546	484
544	489
544	492
542	494
541	498
540	502
540	505
538	506
538	509
537	512
537	514
537	516
538	517
538	520
540	522
540	528
540	533
540	534
540	537
540	541
540	542
540	545
540	550
540	554
540	557
540	560
538	565
538	566
538	568
538	569
537	572
537	573
536	576
534	577
534	578
533	582
532	585
529	589
528	590
524	596
521	598
518	601
513	606
509	609
505	612
502	614
501	616
500	617
500	618
498	621
497	624
494	626
492	629
489	633
486	636
484	641
482	644
480	646
477	652
476	653
476	656
473	661
473	664
473	668
472	670
472	672
469	678
468	681
466	686
466	689
466	690
466	692
466	694
465	698
465	700
464	704
462	705
461	710
458	714
457	717
456	720
453	724
452	726
448	733
442	742
441	745
436	753
433	757
433	760
430	765
430	766
430	769
430	770
430	772
430	773
430	774
430	777
430	778
430	780
430	781
430	782
432	786
432	790
432	793
432	794
434	798
434	800
434	804
434	808
434	810
434	814
436	817
437	820
437	821
440	825
442	829
442	832
444	833
445	834
446	836
448	836
450	836
452	837
458	840
462	840
466	841
477	841
481	841
485	841
490	840
492	838
493	837
493	836
494	833
496	830
496	829
496	828
497	826
497	824
497	821
497	820
497	818
497	817
498	814
500	812
501	809
505	805
508	802
509	801
513	797
514	796
517	794
518	793
522	790
528	788
530	786
538	784
542	782
548	781
557	778
562	777
569	774
576	772
577	770
580	769
581	768
584	766
588	762
592	758
596	754
597	753
600	748
600	746
601	744
601	741
602	738
602	736
605	729
605	726
605	720
606	717
606	714
606	709
608	706
608	704
609	697
609	694
609	689
610	686
610	685
610	684
612	682
612	681
612	680
612	678
612	676
613	673
614	669
616	666
617	665
618	662
620	658
621	656
622	653
624	649
625	646
626	644
628	641
628	638
629	636
632	630
633	628
633	625
634	618
636	612
637	608
637	601
638	598
640	594
641	586
642	581
644	578
646	572
648	569
649	566
650	561
653	557
654	556
658	549
661	544
662	542
665	538
668	536
669	533
670	532
672	530
673	529
674	528
676	525
677	524
678	520
680	518
680	517
682	512
682	509
684	504
684	502
684	498
684	492
684	489
684	485
684	482
684	481
682	480
681	474
681	473
680	470
678	466
676	458
674	456
672	449
670	448
669	444
666	438
665	434
664	433
662	432
661	430
660	429
656	425
652	424
648	422
638	420
628	418
618	417
613	416
608	414
605	414
604	414
602	414
601	414
600	414
598	414
594	417
593	418
592	420
590	421
589	422
588	426
588	430
588	433
588	434
588	437
588	438
588	441
588	444
588	445
588	446
586	448
585	449
584	450
582	452
581	453
580	453
576	454
574	456
573	457
569	458
564	461
561	462
558	464
557	464
557	465
556	465
554	466
553	466
552	466
550	466
549	466
549	468
548	468
546	468
